시군별(1),시군별(2),면적 (㎢),구성비 (%),시수 (개),일반구수 (개),군수 (개),읍수 (개),면수 (개),행정동수 (개),법정동수 (개),통수 (개),행정리수 (개),동반수 (개),읍면반수 (개),도출장소수 (개),시군출장소수 (개),읍면출장소수 (개)
합계,소계,"10,186.30",100,28,17,3,36,105,420,589,"12,345","4,135","74,702","17,205",1,4,2
남부,소계,"5,919.80",58.1,20,14,1,22,64,329,448,"9,683","2,935","56,649","9,835",1,3,1
남부,수원시,121.1,1.2,1,4,-,-,-,43,56,"1,557",-,"7,141",-,-,-,-
남부,성남시,141.7,1.4,1,3,-,-,-,50,44,"1,340",-,"8,064",-,-,-,-
남부,안양시,58.5,0.6,1,2,-,-,-,31,7,565,-,"3,200",-,-,-,-
남부,부천시,53.4,0.5,1,-,-,-,-,36,24,702,-,"5,049",-,-,-,-
남부,광명시,38.5,0.4,1,-,-,-,-,18,8,500,-,"3,193",-,-,-,-
남부,평택시,458.1,4.5,1,-,-,4,5,13,27,352,424,"2,150","1,358",1,2,-
남부,안산시,155.2,1.5,1,2,-,-,-,25,30,"1,194",-,"3,325",-,-,-,-
남부,과천시,35.9,0.4,1,-,-,-,-,6,10,156,-,733,-,-,-,-
남부,오산시,42.7,0.4,1,-,-,-,-,6,24,303,-,"2,081",-,-,-,-
남부,시흥시,137.6,1.4,1,-,-,-,-,17,30,485,-,"2,909",-,-,-,-
남부,군포시,36.4,0.4,1,-,-,-,-,11,9,337,-,"2,313",-,-,-,-
남부,의왕시,54,0.5,1,-,-,-,-,6,11,174,-,897,-,-,-,-
남부,하남시,93,0.9,1,-,-,-,-,13,24,340,-,"1,924",-,-,-,-
남부,용인시,591.4,5.8,1,3,-,3,4,24,35,840,317,"7,152",805,-,-,-
남부,이천시,461.4,4.5,1,-,-,2,8,4,15,99,307,844,"1,139",-,-,-
남부,안성시,553.4,5.4,1,-,-,1,11,3,33,59,420,409,"1,078",-,-,-
남부,김포시,276.6,2.7,1,-,-,3,3,7,9,262,235,"2,471","1,069",-,-,-
남부,화성시,694,6.8,1,-,-,4,10,10,16,264,555,"1,963","2,282",-,1,-
남부,광주시,431,4.2,1,-,-,3,4,3,13,80,177,459,662,-,-,1
남부,여주시,608.3,6,1,-,-,1,8,3,23,74,229,372,640,-,-,-
남부,양평군,877.7,8.6,-,-,1,1,11,-,-,-,271,-,802,-,-,-
북부,소계,"4,266.50",41.9,8,3,2,14,41,91,141,"2,662","1,200","18,053","7,370",-,1,1
북부,의정부시,81.5,0.8,1,-,-,-,-,14,13,633,-,"3,643",-,-,-,-
북부,동두천시,95.7,0.9,1,-,-,-,-,8,12,151,-,"1,199",-,-,-,-
북부,고양시,268.1,2.6,1,3,-,-,-,39,53,975,-,"6,068",-,-,-,-
북부,구리시,33.3,0.3,1,-,-,-,-,8,7,304,-,"1,855",-,-,-,-
북부,남양주시,458.1,4.5,1,-,-,5,4,7,11,246,379,"1,797","3,185",-,-,1
북부,파주시,672.8,6.6,1,-,-,4,9,7,22,169,247,"1,875","1,455",-,1,-
북부,양주시,310.3,3,1,-,-,1,4,6,17,150,101,"1,421",641,-,-,-
북부,포천시,826.6,8.1,1,-,-,1,11,2,6,34,251,195,859,-,-,-
북부,연천군,676.3,6.6,-,-,1,2,8,-,-,-,96,-,635,-,-,-
북부,가평군,843.7,8.3,-,-,1,1,5,-,-,-,126,-,595,-,-,-
