집계년도,시군명,구분명,기관명,구급차수(대),구급대원수(명)
2016,가평군,119안전센터,가평119안전센터,1,9
2017,가평군,119안전센터,가평119안전센터,1,9
2016,가평군,119안전센터,북면119지역대,1,6
2017,가평군,119안전센터,북면119지역대,1,4
2017,가평군,119안전센터,설악119지역대,1,6
2016,가평군,119안전센터,설악119지역대,1,6
2017,가평군,119안전센터,수난구조대,1,4
2016,가평군,119안전센터,수난구조대,1,6
2017,가평군,119안전센터,조종119안전센터,1,6
2016,가평군,119안전센터,조종119안전센터,1,8
2016,가평군,119안전센터,청평119지역대,1,6
2017,가평군,119안전센터,청평119지역대,1,6
2017,가평군,소방서,가평소방서,6,41
2016,고양시,119안전센터,119구조대,1,9
2017,고양시,119안전센터,119구조대,1,7
2017,고양시,119안전센터,119구조대,1,6
2016,고양시,119안전센터,119구조대,1,6
2017,고양시,119안전센터,고봉119안전센터,1,4
2016,고양시,119안전센터,고봉119안전센터,1,6
2017,고양시,119안전센터,고양지역대,1,6
2016,고양시,119안전센터,고양지역대,1,6
2016,고양시,119안전센터,능곡119안전센터,1,6
2017,고양시,119안전센터,능곡119안전센터,1,6
2017,고양시,119안전센터,백석119안전센터,1,7
2016,고양시,119안전센터,백석119안전센터,1,6
2017,고양시,119안전센터,신도119안전센터,1,6
2016,고양시,119안전센터,신도119안전센터,1,6
2016,고양시,119안전센터,원당119안전센터,1,7
2017,고양시,119안전센터,원당119안전센터,1,9
2016,고양시,119안전센터,장항119안전센터,1,6
2017,고양시,119안전센터,장항119안전센터,1,9
2016,고양시,119안전센터,주엽119안전센터,1,6
2017,고양시,119안전센터,주엽119안전센터,1,9
2017,고양시,119안전센터,중산119안전센터,1,11
2016,고양시,119안전센터,중산119안전센터,1,6
2016,고양시,119안전센터,킨텍스출동대,1,6
2017,고양시,119안전센터,킨텍스출동대,1,4
2017,고양시,119안전센터,행신119안전센터,1,9
2016,고양시,119안전센터,행신119안전센터,1,8
2016,고양시,119안전센터,화전119안전센터,1,6
2017,고양시,119안전센터,화전119안전센터,1,4
2017,고양시,소방서,고양소방서,7,48
2017,고양시,소방서,일산소방서,7,42
2016,과천시,119안전센터,119구조대,2,12
2017,과천시,119안전센터,119구조대,2,15
2016,과천시,119안전센터,과천119안전센터,1,4
2017,과천시,119안전센터,과천119안전센터,1,6
2017,과천시,소방서,과천소방서,3,16
2017,광명시,119안전센터,119구조대,2,14
2017,광명시,119안전센터,광남119안전센터,1,6
2016,광명시,119안전센터,광남119안전센터,1,6
2017,광명시,119안전센터,광명119안전센터,1,6
2016,광명시,119안전센터,광명119안전센터,1,6
2016,광명시,119안전센터,소하119안전센터,2,12
2016,광명시,119안전센터,하안119안전센터,1,6
2017,광명시,119안전센터,하안119안전센터,1,6
2017,광명시,소방서,광명소방서,5,30
2017,광주시,119안전센터,경안119안전센터,1,8
2016,광주시,119안전센터,경안119안전센터,1,6
2017,광주시,119안전센터,곤지암119안전센터,1,6
2016,광주시,119안전센터,곤지암119안전센터,1,6
2016,광주시,119안전센터,능평119안전센터,1,7
2017,광주시,119안전센터,능평119안전센터,1,6
2016,광주시,119안전센터,오포119안전센터,1,6
2017,광주시,119안전센터,오포119안전센터,1,7
2017,광주시,119안전센터,초월119안전센터,1,9
2016,광주시,119안전센터,초월119안전센터,1,6
2017,광주시,119안전센터,퇴촌지역대,1,4
2016,광주시,119안전센터,퇴촌지역대,1,6
2017,광주시,소방서,광주소방서,6,37
2017,구리시,119안전센터,119구조대,1,6
2016,구리시,119안전센터,119구조대,1,6
2016,구리시,119안전센터,교문119안전센터,2,10
2017,구리시,119안전센터,교문119안전센터,2,12
2016,구리시,119안전센터,인창119안전센터,1,6
2017,구리시,119안전센터,인창119안전센터,1,6
2017,구리시,소방서,구리소방서,4,22
2016,군포시,119안전센터,119구조대,1,6
2017,군포시,119안전센터,119구조대,1,6
2017,군포시,119안전센터,산본119안전센터,1,6
2016,군포시,119안전센터,산본119안전센터,1,6
2017,군포시,119안전센터,오금119안전센터,2,14
2016,군포시,119안전센터,오금119안전센터,2,12
2017,군포시,소방서,군포소방서,4,24
2017,김포시,119안전센터,119구조대,1,8
2016,김포시,119안전센터,119구조대,1,6
2016,김포시,119안전센터,고촌119안전센터,1,5
2017,김포시,119안전센터,고촌119안전센터,1,6
2017,김포시,119안전센터,대곶119안전센터,1,6
2017,김포시,119안전센터,양촌119안전센터,1,6
2016,김포시,119안전센터,양촌119안전센터,1,6
2016,김포시,119안전센터,월곶지역대,1,4
2017,김포시,119안전센터,월곶지역대,1,4
2017,김포시,119안전센터,중앙119안전센터,1,8
2016,김포시,119안전센터,중앙119안전센터,1,8
2016,김포시,119안전센터,통진119안전센터,1,6
2017,김포시,119안전센터,통진119안전센터,1,6
2017,김포시,119안전센터,하성119안전센터,1,6
2016,김포시,119안전센터,하성119안전센터,1,9
2017,김포시,소방서,김포소방서,8,44
2017,남양주시,119안전센터,가운119안전센터,1,6
2016,남양주시,119안전센터,가운119안전센터,1,6
2016,남양주시,119안전센터,별내119안전센터,1,6
2017,남양주시,119안전센터,별내119안전센터,1,7
2017,남양주시,119안전센터,수동지역대,1,4
2016,남양주시,119안전센터,수동지역대,1,4
2017,남양주시,119안전센터,오남119안전센터,1,6
2016,남양주시,119안전센터,오남119안전센터,1,5
2016,남양주시,119안전센터,와부119안전센터,1,6
2017,남양주시,119안전센터,와부119안전센터,1,6
2016,남양주시,119안전센터,진건119안전센터,1,6
2017,남양주시,119안전센터,진건119안전센터,1,6
2017,남양주시,119안전센터,진접119안전센터,1,9
2016,남양주시,119안전센터,진접119안전센터,1,6
2016,남양주시,119안전센터,평내119안전센터,3,13
2017,남양주시,119안전센터,평내119안전센터,2,14
2016,남양주시,119안전센터,화도119안전센터,1,6
2017,남양주시,119안전센터,화도119안전센터,1,7
2017,남양주시,소방서,남양주소방서,11,58
