연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2017,12,도,경기도  ,12873895,1226500,1410636,1721524,1934989,2313960,2077756,1192377,677314,276699,38771,3369,6475323,629189,728790,901746,986741,1171811,1062080,588623,300552,95624,9338,829,6398572,597311,681846,819778,948248,1142149,1015676,603754,376762,181075,29433,2540
2017,12,시군,경기도 가평군 ,62973,4031,5296,6413,6404,8779,11803,9890,6797,3100,423,37,32276,2068,2791,3624,3398,4758,6174,5082,3091,1169,106,15,30697,1963,2505,2789,3006,4021,5629,4808,3706,1931,317,22
2017,12,읍면동,경기도 가평군 가평읍,19817,1361,1946,2276,1964,3030,3566,2620,2002,921,120,11,10103,700,1036,1247,1041,1619,1867,1315,900,339,36,3,9714,661,910,1029,923,1411,1699,1305,1102,582,84,8
2017,12,읍면동,경기도 가평군 북면,3983,192,212,276,340,447,792,807,588,283,42,4,2035,92,121,160,191,273,404,414,259,109,10,2,1948,100,91,116,149,174,388,393,329,174,32,2
2017,12,읍면동,경기도 가평군 상면,5531,193,366,563,398,643,1208,1100,682,333,40,5,2834,101,179,335,215,349,656,550,322,117,7,3,2697,92,187,228,183,294,552,550,360,216,33,2
2017,12,읍면동,경기도 가평군 설악면,9285,611,874,808,849,1193,1820,1561,995,498,72,4,4700,300,440,447,434,637,939,812,475,200,14,2,4585,311,434,361,415,556,881,749,520,298,58,2
2017,12,읍면동,경기도 가평군 조종면,9946,855,727,1094,1275,1294,1726,1494,1003,413,58,7,5282,450,372,682,679,703,931,834,456,157,15,3,4664,405,355,412,596,591,795,660,547,256,43,4
2017,12,읍면동,경기도 가평군 청평면,14411,819,1171,1396,1578,2172,2691,2308,1527,652,91,6,7322,425,643,753,838,1177,1377,1157,679,247,24,2,7089,394,528,643,740,995,1314,1151,848,405,67,4
2017,12,시군,경기도 고양시 ,1041983,88882,117083,146816,140246,193677,178795,90411,56679,25806,3334,254,511564,45631,60405,74854,68402,93656,89887,44872,23741,9184,865,67,530419,43251,56678,71962,71844,100021,88908,45539,32938,16622,2469,187
2017,12,구,경기도 고양시 덕양구 ,448684,40007,44684,60478,63875,79618,76399,43192,27454,11294,1516,167,222646,20561,23078,31195,32031,39957,38569,21188,11681,3976,372,38,226038,19446,21606,29283,31844,39661,37830,22004,15773,7318,1144,129
2017,12,읍면동,경기도 고양시 덕양구 고양동,32716,3069,3654,3683,4361,6135,5003,3609,2237,840,112,13,16424,1604,1899,1963,2175,3153,2580,1715,969,335,27,4,16292,1465,1755,1720,2186,2982,2423,1894,1268,505,85,9
2017,12,읍면동,경기도 고양시 덕양구 관산동,35781,2628,3174,4353,4796,5928,6545,4439,2740,986,160,32,18176,1351,1693,2308,2550,3176,3338,2174,1232,312,36,6,17605,1277,1481,2045,2246,2752,3207,2265,1508,674,124,26
2017,12,읍면동,경기도 고양시 덕양구 능곡동,19071,1337,1706,2666,2336,3163,3776,2151,1359,490,74,13,9747,727,917,1421,1224,1625,1963,1074,609,174,11,2,9324,610,789,1245,1112,1538,1813,1077,750,316,63,11
2017,12,읍면동,경기도 고양시 덕양구 대덕동,2465,111,173,275,276,352,528,385,248,94,19,4,1382,56,91,155,161,220,319,221,115,37,6,1,1083,55,82,120,115,132,209,164,133,57,13,3
