연도,월,행정구역구분명,행정구역명,남자 평균연령,여자 평균연령,평균연령
2017,12,도,경기도  ,38.9,40.6,39.8
2017,12,시군,경기도 가평군 ,46.1,48.9,47.4
2017,12,읍면동,경기도 가평군 가평읍,44.3,47.1,45.7
2017,12,읍면동,경기도 가평군 북면,51.2,55.2,53.1
2017,12,읍면동,경기도 가평군 상면,49.9,53.3,51.6
2017,12,읍면동,경기도 가평군 설악면,47.1,48.8,48
2017,12,읍면동,경기도 가평군 조종면,44.4,46.9,45.6
2017,12,읍면동,경기도 가평군 청평면,46.1,49.2,47.6
2017,12,시군,경기도 고양시 ,39.3,41.2,40.3
2017,12,구,경기도 고양시 덕양구 ,40,42,41
2017,12,읍면동,경기도 고양시 덕양구 고양동,40.2,42.3,41.3
2017,12,읍면동,경기도 고양시 덕양구 관산동,42.3,44.9,43.6
2017,12,읍면동,경기도 고양시 덕양구 능곡동,41.9,44.4,43.1
2017,12,읍면동,경기도 고양시 덕양구 대덕동,47.3,48.9,48
2017,12,읍면동,경기도 고양시 덕양구 성사1동,41,43.5,42.2
2017,12,읍면동,경기도 고양시 덕양구 성사2동,41.3,44,42.7
2017,12,읍면동,경기도 고양시 덕양구 신도동,40.1,42.2,41.2
2017,12,읍면동,경기도 고양시 덕양구 원신동,37.5,39.1,38.3
2017,12,읍면동,경기도 고양시 덕양구 주교동,42.5,45.7,44.1
2017,12,읍면동,경기도 고양시 덕양구 창릉동,39.5,40.1,39.8
2017,12,읍면동,경기도 고양시 덕양구 행신1동,39.5,41.4,40.5
2017,12,읍면동,경기도 고양시 덕양구 행신2동,38.4,40.7,39.6
2017,12,읍면동,경기도 고양시 덕양구 행신3동,39.1,41.3,40.2
2017,12,읍면동,경기도 고양시 덕양구 행주동,42.6,45.1,43.8
2017,12,읍면동,경기도 고양시 덕양구 화전동,43.6,45.5,44.4
2017,12,읍면동,경기도 고양시 덕양구 화정1동,40.1,42,41.1
2017,12,읍면동,경기도 고양시 덕양구 화정2동,37.5,39.5,38.5
2017,12,읍면동,경기도 고양시 덕양구 효자동,44.7,46.4,45.5
2017,12,읍면동,경기도 고양시 덕양구 흥도동,37.3,38.5,38
2017,12,구,경기도 고양시 일산동구 ,39.2,40.9,40.1
2017,12,읍면동,경기도 고양시 일산동구 고봉동,42.7,44.7,43.7
2017,12,읍면동,경기도 고양시 일산동구 마두1동,38.9,40.4,39.7
2017,12,읍면동,경기도 고양시 일산동구 마두2동,38.8,40.7,39.8
2017,12,읍면동,경기도 고양시 일산동구 백석1동,38.1,40.1,39.1
2017,12,읍면동,경기도 고양시 일산동구 백석2동,40.5,42.4,41.5
2017,12,읍면동,경기도 고양시 일산동구 식사동,36.5,37.5,37
2017,12,읍면동,경기도 고양시 일산동구 장항1동,48.1,48.2,48.1
2017,12,읍면동,경기도 고양시 일산동구 장항2동,40.3,41,40.6
2017,12,읍면동,경기도 고양시 일산동구 정발산동,39.4,41.4,40.4
2017,12,읍면동,경기도 고양시 일산동구 중산동,39.8,42.4,41.1
2017,12,읍면동,경기도 고양시 일산동구 풍산동,37.8,39.9,38.9
2017,12,구,경기도 고양시 일산서구 ,38.5,40.4,39.5
2017,12,읍면동,경기도 고양시 일산서구 대화동,39.3,41.4,40.4
2017,12,읍면동,경기도 고양시 일산서구 송산동,37.8,39,38.4
2017,12,읍면동,경기도 고양시 일산서구 송포동,39.3,40.7,40
2017,12,읍면동,경기도 고양시 일산서구 일산1동,39,40.7,39.9
2017,12,읍면동,경기도 고양시 일산서구 일산2동,41.5,43.3,42.4
2017,12,읍면동,경기도 고양시 일산서구 일산3동,36.8,38.3,37.6
2017,12,읍면동,경기도 고양시 일산서구 주엽1동,39.2,41.7,40.5
2017,12,읍면동,경기도 고양시 일산서구 주엽2동,39.8,42.6,41.3
2017,12,읍면동,경기도 고양시 일산서구 탄현동,37,39.1,38.1
2017,12,시군,경기도 과천시 ,39.8,42.5,41.2
2017,12,읍면동,경기도 과천시 갈현동,37.7,39.2,38.5
2017,12,읍면동,경기도 과천시 과천동,41.5,43.6,42.5
2017,12,읍면동,경기도 과천시 문원동,39.2,42.7,41
2017,12,읍면동,경기도 과천시 별양동,40.2,43.4,41.9
2017,12,읍면동,경기도 과천시 부림동,39.6,42.6,41.1
2017,12,읍면동,경기도 과천시 중앙동,41.1,44.4,42.8
2017,12,시군,경기도 광명시 ,39,41.2,40.1
2017,12,읍면동,경기도 광명시 광명1동,41.2,44.6,42.9
2017,12,읍면동,경기도 광명시 광명2동,42.9,45.3,44.1
2017,12,읍면동,경기도 광명시 광명3동,43.6,46.2,44.9
2017,12,읍면동,경기도 광명시 광명4동,42.4,44.7,43.6
2017,12,읍면동,경기도 광명시 광명5동,40.4,43.1,41.8
2017,12,읍면동,경기도 광명시 광명6동,40.3,41.7,41
2017,12,읍면동,경기도 광명시 광명7동,41,43.2,42.1
2017,12,읍면동,경기도 광명시 소하1동,37.2,38.9,38.1
2017,12,읍면동,경기도 광명시 소하2동,38.2,40,39.1
2017,12,읍면동,경기도 광명시 철산1동,37.3,38.8,38.1
2017,12,읍면동,경기도 광명시 철산2동,40.7,42.7,41.7
2017,12,읍면동,경기도 광명시 철산3동,37.5,38.9,38.2
2017,12,읍면동,경기도 광명시 철산4동,38.5,40.5,39.5
2017,12,읍면동,경기도 광명시 하안1동,37.5,39,38.2
2017,12,읍면동,경기도 광명시 하안2동,37.7,40.7,39.2
2017,12,읍면동,경기도 광명시 하안3동,38.5,42.2,40.4
2017,12,읍면동,경기도 광명시 하안4동,35.5,38.1,36.8
2017,12,읍면동,경기도 광명시 학온동,49.8,52.8,51.1
2017,12,시군,경기도 광주시 ,39.4,40.6,40
2017,12,읍면동,경기도 광주시 경안동,39.1,40.4,39.7
2017,12,읍면동,경기도 광주시 곤지암읍,42.4,43.7,43
2017,12,읍면동,경기도 광주시 광남동,37.9,38.6,38.2
